transaction_id,transaction_date,transaction_time,customer_id,product_id,quantity,unit_price,product_category,product_type,product,size
276,2019-04-01,16:10:37,401,42,2,2.5,Tea,Brewed herbal tea,Lemon Grass,Rg
281,2019-04-01,11:27:06,189,31,2,2.2,Coffee,Gourmet brewed coffee,Ethiopia,Sm
290,2019-04-01,14:58:35,517,43,1,3.0,Tea,Brewed herbal tea,Lemon Grass,Lg
296,2019-04-01,14:49:18,328,39,1,4.25,Coffee,Barista Espresso,Latte,Rg
296,2019-04-01,14:49:18,328,79,1,3.75,Bakery,Scone,Jumbo Savory Scone,Regular
297,2019-04-01,12:05:26,331,48,2,2.5,Tea,Brewed Black tea,English Breakfast,Rg
298,2019-04-01,18:30:05,414,55,2,4.0,Tea,Brewed Chai tea,Morning Sunrise Chai,Lg
317,2019-04-01,19:57:08,567,48,1,2.5,Tea,Brewed Black tea,English Breakfast,Rg
325,2019-04-01,19:23:13,526,22,2,2.0,Coffee,Drip coffee,Our Old Time Diner Blend,Sm
326,2019-04-01,12:05:31,659,52,2,2.5,Tea,Brewed Chai tea,Traditional Blend Chai,Rg
334,2019-04-01,18:12:37,492,25,2,2.2,Coffee,Organic brewed coffee,Brazilian,Sm
337,2019-04-01,18:14:17,655,39,2,4.25,Coffee,Barista Espresso,Latte,Rg
344,2019-04-01,17:28:16,500,41,1,4.25,Coffee,Barista Espresso,Cappuccino,Lg
357,2019-04-01,15:34:10,530,41,2,4.25,Coffee,Barista Espresso,Cappuccino,Lg
357,2019-04-01,15:34:10,530,76,1,3.5,Bakery,Biscotti,Chocolate Chip Biscotti,Regular
360,2019-04-01,15:30:57,114,38,2,3.75,Coffee,Barista Espresso,Latte,Regular
366,2019-04-01,18:33:47,301,51,1,3.0,Tea,Brewed Black tea,Earl Grey,Lg
384,2019-04-01,16:04:18,602,54,2,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai,Rg
385,2019-04-01,11:32:46,565,31,2,2.2,Coffee,Gourmet brewed coffee,Ethiopia,Sm
389,2019-04-01,17:00:27,335,29,1,2.5,Coffee,Gourmet brewed coffee,Columbian Medium Roast,Rg
390,2019-04-01,12:20:37,52,25,1,2.2,Coffee,Organic brewed coffee,Brazilian,Sm
391,2019-04-01,18:05:52,216,33,2,3.5,Coffee,Gourmet brewed coffee,Ethiopia,Lg
391,2019-04-01,18:05:52,216,79,1,3.75,Bakery,Scone,Jumbo Savory Scone,Regular
396,2019-04-01,14:45:31,550,47,1,3.0,Tea,Brewed Green tea,Serenity Green Tea,Lg
405,2019-04-01,19:31:31,481,26,2,3.0,Coffee,Organic brewed coffee,Brazilian,Rg
411,2019-04-01,12:23:27,516,22,2,2.0,Coffee,Drip coffee,Our Old Time Diner Blend,Sm
413,2019-04-01,16:03:50,508,31,1,2.2,Coffee,Gourmet brewed coffee,Ethiopia,Sm
413,2019-04-01,16:03:50,508,76,1,3.5,Bakery,Biscotti,Chocolate Chip Biscotti,Regular
421,2019-04-01,19:52:28,717,34,2,2.45,Coffee,Premium brewed coffee,Jamaican Coffee River,Sm
422,2019-04-01,14:14:08,641,26,1,3.0,Coffee,Organic brewed coffee,Brazilian,Rg
426,2019-04-01,15:45:16,525,46,2,2.5,Tea,Brewed Green tea,Serenity Green Tea,Rg
427,2019-04-01,19:03:00,384,22,1,2.0,Coffee,Drip coffee,Our Old Time Diner Blend,Sm
429,2019-04-01,12:56:59,784,47,1,3.0,Tea,Brewed Green tea,Serenity Green Tea,Lg
434,2019-04-01,17:26:52,383,26,2,3.0,Coffee,Organic brewed coffee,Brazilian,Rg
446,2019-04-01,12:15:02,659,50,2,2.5,Tea,Brewed Black tea,Earl Grey,Rg
447,2019-04-01,14:51:44,235,30,1,3.0,Coffee,Gourmet brewed coffee,Columbian Medium Roast,Lg
451,2019-04-01,12:55:25,319,49,1,3.0,Tea,Brewed Black tea,English Breakfast,Lg
457,2019-04-01,16:17:06,647,34,2,2.45,Coffee,Premium brewed coffee,Jamaican Coffee River,Sm
459,2019-04-01,18:09:04,320,35,1,3.1,Coffee,Premium brewed coffee,Jamaican Coffee River,Rg
461,2019-04-01,17:54:11,326,56,2,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai,Rg
470,2019-04-01,18:38:00,122,41,1,4.25,Coffee,Barista Espresso,Cappuccino,Lg
474,2019-04-01,18:13:09,453,59,1,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate,Lg
480,2019-04-01,16:37:34,185,26,2,3.0,Coffee,Organic brewed coffee,Brazilian,Rg
483,2019-04-01,19:15:15,393,55,1,4.0,Tea,Brewed Chai tea,Morning Sunrise Chai,Lg
490,2019-04-01,16:24:40,392,47,2,3.0,Tea,Brewed Green tea,Serenity Green Tea,Lg
490,2019-04-01,16:24:40,392,74,1,3.5,Bakery,Biscotti,Ginger Biscotti,Regular
494,2019-04-01,18:25:42,241,35,1,3.1,Coffee,Premium brewed coffee,Jamaican Coffee River,Rg
495,2019-04-01,18:51:23,777,24,2,3.0,Coffee,Drip coffee,Our Old Time Diner Blend,Lg
497,2019-04-01,16:49:38,407,52,1,2.5,Tea,Brewed Chai tea,Traditional Blend Chai,Rg
501,2019-04-01,16:16:43,659,39,1,4.25,Coffee,Barista Espresso,Latte,Rg
510,2019-04-01,15:15:17,288,35,2,3.1,Coffee,Premium brewed coffee,Jamaican Coffee River,Rg
510,2019-04-01,15:15:17,288,79,1,3.75,Bakery,Scone,Jumbo Savory Scone,Regular
511,2019-04-01,18:07:54,15,26,2,3.0,Coffee,Organic brewed coffee,Brazilian,Rg
513,2019-04-01,11:08:11,486,59,1,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate,Lg
516,2019-04-01,16:02:33,206,43,2,3.0,Tea,Brewed herbal tea,Lemon Grass,Lg
516,2019-04-01,16:02:33,206,71,1,3.75,Bakery,Pastry,Chocolate Croissant,Regular
523,2019-04-01,14:00:44,315,25,1,2.2,Coffee,Organic brewed coffee,Brazilian,Sm
528,2019-04-01,17:12:46,197,55,2,4.0,Tea,Brewed Chai tea,Morning Sunrise Chai,Lg
529,2019-04-01,19:49:37,329,36,1,3.75,Coffee,Premium brewed coffee,Jamaican Coffee River,Lg
530,2019-04-01,19:28:35,184,55,1,4.0,Tea,Brewed Chai tea,Morning Sunrise Chai,Lg
534,2019-04-01,18:52:34,474,22,1,2.0,Coffee,Drip coffee,Our Old Time Diner Blend,Sm
537,2019-04-01,12:18:27,706,38,1,3.75,Coffee,Barista Espresso,Latte,Regular
539,2019-04-01,17:18:36,384,29,1,2.5,Coffee,Gourmet brewed coffee,Columbian Medium Roast,Rg
541,2019-04-01,19:17:34,537,52,2,2.5,Tea,Brewed Chai tea,Traditional Blend Chai,Rg
546,2019-04-01,18:49:48,128,27,1,3.5,Coffee,Organic brewed coffee,Brazilian,Lg
550,2019-04-01,11:12:39,349,22,2,2.0,Coffee,Drip coffee,Our Old Time Diner Blend,Sm
554,2019-04-01,17:11:09,245,25,1,2.2,Coffee,Organic brewed coffee,Brazilian,Sm
555,2019-04-01,18:23:47,244,32,2,3.0,Coffee,Gourmet brewed coffee,Ethiopia,Rg
558,2019-04-01,13:44:48,65,56,1,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai,Rg
562,2019-04-01,13:03:13,616,43,2,3.0,Tea,Brewed herbal tea,Lemon Grass,Lg
565,2019-04-01,11:45:11,284,51,2,3.0,Tea,Brewed Black tea,Earl Grey,Lg
566,2019-04-01,12:20:16,384,60,2,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic,Rg
575,2019-04-01,17:41:55,269,55,2,4.0,Tea,Brewed Chai tea,Morning Sunrise Chai,Lg
575,2019-04-01,17:41:55,269,71,1,3.75,Bakery,Pastry,Chocolate Croissant,Regular
580,2019-04-01,11:15:17,736,54,2,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai,Rg
585,2019-04-01,17:58:05,385,52,2,2.5,Tea,Brewed Chai tea,Traditional Blend Chai,Rg
586,2019-04-01,15:14:19,25,26,2,3.0,Coffee,Organic brewed coffee,Brazilian,Rg
588,2019-04-01,12:45:52,200,28,2,2.0,Coffee,Gourmet brewed coffee,Columbian Medium Roast,Sm
590,2019-04-01,16:39:24,450,36,1,3.75,Coffee,Premium brewed coffee,Jamaican Coffee River,Lg
591,2019-04-01,16:32:46,644,51,2,3.0,Tea,Brewed Black tea,Earl Grey,Lg
593,2019-04-01,18:18:10,482,59,1,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate,Lg
599,2019-04-01,12:58:29,83,41,1,4.25,Coffee,Barista Espresso,Cappuccino,Lg
601,2019-04-01,11:47:57,199,23,1,2.5,Coffee,Drip coffee,Our Old Time Diner Blend,Rg
601,2019-04-01,11:47:57,199,69,1,3.25,Bakery,Biscotti,Hazelnut Biscotti,Regular
602,2019-04-01,16:22:38,425,22,1,2.0,Coffee,Drip coffee,Our Old Time Diner Blend,Sm
610,2019-04-01,15:30:16,222,43,1,3.0,Tea,Brewed herbal tea,Lemon Grass,Lg
611,2019-04-01,11:17:40,776,51,2,3.0,Tea,Brewed Black tea,Earl Grey,Lg
616,2019-04-01,11:30:18,190,30,2,3.0,Coffee,Gourmet brewed coffee,Columbian Medium Roast,Lg
625,2019-04-01,18:34:46,729,25,2,2.2,Coffee,Organic brewed coffee,Brazilian,Sm
625,2019-04-01,18:34:46,729,77,1,3.0,Bakery,Scone,Oatmeal Scone,Regular
641,2019-04-01,16:48:51,749,59,1,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate,Lg
646,2019-04-01,18:16:21,281,54,2,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai,Rg
660,2019-04-01,19:58:29,362,55,1,4.0,Tea,Brewed Chai tea,Morning Sunrise Chai,Lg
675,2019-04-01,15:29:24,271,57,1,3.1,Tea,Brewed Chai tea,Spicy Eye Opener Chai,Lg
675,2019-04-01,15:29:24,271,70,1,3.25,Bakery,Scone,Cranberry Scone,Regular
676,2019-04-01,11:09:01,289,59,1,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate,Lg
677,2019-04-01,14:01:57,124,36,2,3.75,Coffee,Premium brewed coffee,Jamaican Coffee River,Lg
684,2019-04-01,11:57:17,693,37,2,3.0,Coffee,Barista Espresso,Espresso shot,Regular
691,2019-04-01,17:39:57,602,25,1,2.2,Coffee,Organic brewed coffee,Brazilian,Sm
691,2019-04-01,17:39:57,602,77,1,3.0,Bakery,Scone,Oatmeal Scone,Regular
693,2019-04-01,18:13:19,376,60,2,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic,Rg
694,2019-04-01,14:19:10,251,60,1,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic,Rg
703,2019-04-01,13:21:23,459,38,2,3.75,Coffee,Barista Espresso,Latte,Regular
709,2019-04-01,12:30:46,120,44,2,2.5,Tea,Brewed herbal tea,Peppermint,Rg
711,2019-04-01,18:34:56,136,60,2,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic,Rg
724,2019-04-01,13:05:56,596,58,1,3.5,Drinking Chocolate,Hot chocolate,Dark chocolate,Rg
725,2019-04-01,19:25:42,393,55,1,4.0,Tea,Brewed Chai tea,Morning Sunrise Chai,Lg
728,2019-04-01,16:31:22,126,51,2,3.0,Tea,Brewed Black tea,Earl Grey,Lg
737,2019-04-01,15:01:21,162,34,2,2.45,Coffee,Premium brewed coffee,Jamaican Coffee River,Sm
739,2019-04-01,12:46:22,230,56,1,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai,Rg
755,2019-04-01,18:43:42,290,25,1,2.2,Coffee,Organic brewed coffee,Brazilian,Sm
766,2019-04-01,15:09:37,119,22,1,2.0,Coffee,Drip coffee,Our Old Time Diner Blend,Sm
770,2019-04-01,17:22:29,332,58,2,3.5,Drinking Chocolate,Hot chocolate,Dark chocolate,Rg
771,2019-04-01,16:38:05,138,35,1,3.1,Coffee,Premium brewed coffee,Jamaican Coffee River,Rg
777,2019-04-01,14:35:47,361,55,1,4.0,Tea,Brewed Chai tea,Morning Sunrise Chai,Lg
778,2019-04-01,15:10:55,488,42,1,2.5,Tea,Brewed herbal tea,Lemon Grass,Rg
780,2019-04-01,14:05:30,222,60,1,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic,Rg
782,2019-04-01,18:00:34,141,53,1,3.0,Tea,Brewed Chai tea,Traditional Blend Chai,Lg
789,2019-04-01,18:31:25,505,41,2,4.25,Coffee,Barista Espresso,Cappuccino,Lg
790,2019-04-01,12:42:26,139,53,1,3.0,Tea,Brewed Chai tea,Traditional Blend Chai,Lg
793,2019-04-01,13:09:20,473,26,1,3.0,Coffee,Organic brewed coffee,Brazilian,Rg
798,2019-04-01,19:29:01,329,44,2,2.5,Tea,Brewed herbal tea,Peppermint,Rg
803,2019-04-01,11:26:24,600,49,2,3.0,Tea,Brewed Black tea,English Breakfast,Lg
807,2019-04-01,16:47:11,796,26,2,3.0,Coffee,Organic brewed coffee,Brazilian,Rg
809,2019-04-01,16:51:18,52,37,2,3.0,Coffee,Barista Espresso,Espresso shot,Regular
810,2019-04-01,18:51:41,702,28,1,2.0,Coffee,Gourmet brewed coffee,Columbian Medium Roast,Sm
820,2019-04-01,19:21:29,466,51,1,3.0,Tea,Brewed Black tea,Earl Grey,Lg
820,2019-04-01,19:21:29,466,74,1,3.5,Bakery,Biscotti,Ginger Biscotti,Regular
823,2019-04-01,19:32:22,24,47,1,3.0,Tea,Brewed Green tea,Serenity Green Tea,Lg
828,2019-04-01,11:14:07,456,52,1,2.5,Tea,Brewed Chai tea,Traditional Blend Chai,Rg
831,2019-04-01,19:38:46,406,55,2,4.0,Tea,Brewed Chai tea,Morning Sunrise Chai,Lg
855,2019-04-01,15:12:22,637,24,1,3.0,Coffee,Drip coffee,Our Old Time Diner Blend,Lg
859,2019-04-01,17:44:28,209,27,2,3.5,Coffee,Organic brewed coffee,Brazilian,Lg
859,2019-04-01,17:44:28,209,74,1,3.5,Bakery,Biscotti,Ginger Biscotti,Regular
861,2019-04-01,13:09:03,438,35,1,3.1,Coffee,Premium brewed coffee,Jamaican Coffee River,Rg
869,2019-04-01,16:42:12,536,36,2,3.75,Coffee,Premium brewed coffee,Jamaican Coffee River,Lg
873,2019-04-01,19:07:26,550,46,1,2.5,Tea,Brewed Green tea,Serenity Green Tea,Rg
873,2019-04-01,19:07:26,550,78,1,4.5,Bakery,Scone,Scottish Cream Scone,Regular
889,2019-04-01,16:58:31,548,45,2,3.0,Tea,Brewed herbal tea,Peppermint,Lg
889,2019-04-01,16:58:31,548,70,1,3.25,Bakery,Scone,Cranberry Scone,Regular
891,2019-04-01,12:12:21,662,34,2,2.45,Coffee,Premium brewed coffee,Jamaican Coffee River,Sm
891,2019-04-01,12:12:21,662,71,1,3.75,Bakery,Pastry,Chocolate Croissant,Regular
901,2019-04-01,15:09:38,341,29,1,2.5,Coffee,Gourmet brewed coffee,Columbian Medium Roast,Rg
901,2019-04-01,15:09:38,341,71,1,3.75,Bakery,Pastry,Chocolate Croissant,Regular
902,2019-04-01,13:23:54,685,58,2,3.5,Drinking Chocolate,Hot chocolate,Dark chocolate,Rg
917,2019-04-01,19:10:16,631,27,2,3.5,Coffee,Organic brewed coffee,Brazilian,Lg
919,2019-04-01,19:06:41,675,54,1,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai,Rg
921,2019-04-01,11:44:31,773,56,1,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai,Rg
923,2019-04-01,13:44:26,740,57,1,3.1,Tea,Brewed Chai tea,Spicy Eye Opener Chai,Lg
924,2019-04-01,12:58:53,743,57,2,3.1,Tea,Brewed Chai tea,Spicy Eye Opener Chai,Lg
932,2019-04-01,15:55:09,296,44,2,2.5,Tea,Brewed herbal tea,Peppermint,Rg
944,2019-04-01,19:25:57,63,50,2,2.5,Tea,Brewed Black tea,Earl Grey,Rg
944,2019-04-01,19:25:57,63,69,1,3.25,Bakery,Biscotti,Hazelnut Biscotti,Regular
946,2019-04-01,12:04:37,563,47,2,3.0,Tea,Brewed Green tea,Serenity Green Tea,Lg
948,2019-04-01,16:18:56,424,61,1,4.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic,Lg
960,2019-04-01,14:07:56,382,23,1,2.5,Coffee,Drip coffee,Our Old Time Diner Blend,Rg
964,2019-04-01,12:33:20,608,54,2,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai,Rg
968,2019-04-01,18:22:07,497,53,1,3.0,Tea,Brewed Chai tea,Traditional Blend Chai,Lg
969,2019-04-01,15:19:19,313,43,1,3.0,Tea,Brewed herbal tea,Lemon Grass,Lg
984,2019-04-01,15:17:06,81,53,1,3.0,Tea,Brewed Chai tea,Traditional Blend Chai,Lg
988,2019-04-01,16:58:33,384,37,1,3.0,Coffee,Barista Espresso,Espresso shot,Regular
993,2019-04-01,13:42:10,398,43,1,3.0,Tea,Brewed herbal tea,Lemon Grass,Lg
994,2019-04-01,15:50:59,44,39,1,4.25,Coffee,Barista Espresso,Latte,Rg
1000,2019-04-01,16:07:20,732,23,2,2.5,Coffee,Drip coffee,Our Old Time Diner Blend,Rg
1010,2019-04-01,16:17:52,430,29,2,2.5,Coffee,Gourmet brewed coffee,Columbian Medium Roast,Rg
1014,2019-04-01,13:19:36,601,23,1,2.5,Coffee,Drip coffee,Our Old Time Diner Blend,Rg
1015,2019-04-01,11:40:26,7,52,2,2.5,Tea,Brewed Chai tea,Traditional Blend Chai,Rg
1017,2019-04-01,11:15:33,318,54,1,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai,Rg
1018,2019-04-01,19:39:00,467,47,2,3.0,Tea,Brewed Green tea,Serenity Green Tea,Lg
1023,2019-04-01,15:27:11,434,58,2,3.5,Drinking Chocolate,Hot chocolate,Dark chocolate,Rg
1033,2019-04-01,14:53:00,781,43,1,3.0,Tea,Brewed herbal tea,Lemon Grass,Lg
1042,2019-04-01,19:45:16,316,41,1,4.25,Coffee,Barista Espresso,Cappuccino,Lg
1046,2019-04-01,19:38:00,399,33,1,3.5,Coffee,Gourmet brewed coffee,Ethiopia,Lg
1051,2019-04-01,19:04:14,403,29,2,2.5,Coffee,Gourmet brewed coffee,Columbian Medium Roast,Rg
1052,2019-04-01,17:59:05,685,48,1,2.5,Tea,Brewed Black tea,English Breakfast,Rg
1057,2019-04-01,15:44:32,409,44,2,2.5,Tea,Brewed herbal tea,Peppermint,Rg
1057,2019-04-01,15:44:32,409,78,1,4.5,Bakery,Scone,Scottish Cream Scone,Regular
1064,2019-04-01,17:32:16,557,38,2,3.75,Coffee,Barista Espresso,Latte,Regular
1065,2019-04-01,12:33:35,231,29,2,2.5,Coffee,Gourmet brewed coffee,Columbian Medium Roast,Rg
1071,2019-04-01,11:36:00,571,40,2,3.75,Coffee,Barista Espresso,Cappuccino,Regular
1072,2019-04-01,16:20:47,235,41,1,4.25,Coffee,Barista Espresso,Cappuccino,Lg
1088,2019-04-01,15:59:51,226,50,2,2.5,Tea,Brewed Black tea,Earl Grey,Rg
1093,2019-04-01,16:03:30,745,34,2,2.45,Coffee,Premium brewed coffee,Jamaican Coffee River,Sm
1094,2019-04-01,15:01:50,355,27,1,3.5,Coffee,Organic brewed coffee,Brazilian,Lg
1095,2019-04-01,13:40:47,177,54,2,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai,Rg
1096,2019-04-01,17:15:12,379,59,1,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate,Lg
1108,2019-04-01,11:36:56,654,55,1,4.0,Tea,Brewed Chai tea,Morning Sunrise Chai,Lg
1114,2019-04-01,17:10:35,428,59,1,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate,Lg
1116,2019-04-01,17:29:08,402,37,1,3.0,Coffee,Barista Espresso,Espresso shot,Regular
1117,2019-04-01,18:10:03,179,58,1,3.5,Drinking Chocolate,Hot chocolate,Dark chocolate,Rg
1120,2019-04-01,14:45:37,536,38,1,3.75,Coffee,Barista Espresso,Latte,Regular
1123,2019-04-01,12:09:46,299,26,2,3.0,Coffee,Organic brewed coffee,Brazilian,Rg
1125,2019-04-01,12:50:28,184,32,2,3.0,Coffee,Gourmet brewed coffee,Ethiopia,Rg
1145,2019-04-01,12:13:07,328,42,1,2.5,Tea,Brewed herbal tea,Lemon Grass,Rg
1146,2019-04-01,17:22:36,574,36,1,3.75,Coffee,Premium brewed coffee,Jamaican Coffee River,Lg
1151,2019-04-01,13:41:09,337,42,2,2.5,Tea,Brewed herbal tea,Lemon Grass,Rg
1167,2019-04-01,17:51:22,5,53,1,3.0,Tea,Brewed Chai tea,Traditional Blend Chai,Lg
1169,2019-04-01,13:52:28,669,56,2,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai,Rg
1169,2019-04-01,13:52:28,669,70,1,3.25,Bakery,Scone,Cranberry Scone,Regular
1182,2019-04-01,19:18:58,80,53,1,3.0,Tea,Brewed Chai tea,Traditional Blend Chai,Lg
1185,2019-04-01,12:40:00,490,37,2,3.0,Coffee,Barista Espresso,Espresso shot,Regular
1185,2019-04-01,12:40:00,490,69,1,3.25,Bakery,Biscotti,Hazelnut Biscotti,Regular
1187,2019-04-01,12:48:08,567,38,2,3.75,Coffee,Barista Espresso,Latte,Regular
1195,2019-04-01,11:50:23,222,36,2,3.75,Coffee,Premium brewed coffee,Jamaican Coffee River,Lg
1198,2019-04-01,15:44:22,408,38,2,3.75,Coffee,Barista Espresso,Latte,Regular
1201,2019-04-01,16:56:48,85,28,1,2.0,Coffee,Gourmet brewed coffee,Columbian Medium Roast,Sm
1206,2019-04-01,15:52:23,540,29,2,2.5,Coffee,Gourmet brewed coffee,Columbian Medium Roast,Rg
1207,2019-04-01,12:36:17,55,40,2,3.75,Coffee,Barista Espresso,Cappuccino,Regular
1207,2019-04-01,12:36:17,55,71,1,3.75,Bakery,Pastry,Chocolate Croissant,Regular
1209,2019-04-01,17:29:25,2,46,1,2.5,Tea,Brewed Green tea,Serenity Green Tea,Rg
1209,2019-04-01,17:29:25,2,75,1,3.5,Bakery,Pastry,Croissant,Regular
1210,2019-04-01,19:41:15,135,51,1,3.0,Tea,Brewed Black tea,Earl Grey,Lg
1230,2019-04-01,15:27:54,227,56,1,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai,Rg
1233,2019-04-01,15:42:49,305,40,1,3.75,Coffee,Barista Espresso,Cappuccino,Regular
